station,name,x,y,tair
59151.0,Coffs Harbour Airport,153.1,-30.3,[24 - 26.500]
60139.0,Port Macquarie Airport Aws,152.9,-31.4,[24 - 26.500]
60141.0,Taree Airport Aws,152.5,-31.9,[24 - 26.500]
61055.0,Newcastle Nobbys Signal Station Aws,151.8,-32.9,[21.500 - 24]
61078.0,Williamtown Raaf,151.8,-32.8,[24 - 26.500]
61087.0,Gosford (Narara Research Station) Aws,151.3,-33.4,[24 - 26.500]
61250.0,Paterson (Tocal Aws),151.6,-32.6,[24 - 26.500]
61260.0,Cessnock Airport Aws,151.3,-32.8,[24 - 26.500]
61287.0,Merriwa (Roscommon),150.2,-32.2,[24 - 26.500]
61363.0,Scone Airport Aws,150.8,-32.0,[24 - 26.500]
61366.0,Norah Head Aws,151.6,-33.3,[21.500 - 24]
61375.0,Mangrove Mountain Aws,151.2,-33.3,[21.500 - 24]
61392.0,Murrurundi Gap Aws,150.8,-31.7,[21.500 - 24]
61412.0,Cooranbong (Lake Macquarie Aws),151.5,-33.1,[24 - 26.500]
61425.0,Gosford Aws,151.4,-33.4,[24 - 26.500]
62100.0,Nullo Mountain Aws,150.2,-32.7,[16.500 - 19]
62101.0,Mudgee Airport Aws,149.6,-32.6,[24 - 26.500]
63291.0,Bathurst Airport Aws,149.7,-33.4,[21.500 - 24]
63292.0,Mount Boyce Aws,150.3,-33.6,[16.500 - 19]
63303.0,Orange Airport Aws,149.1,-33.4,[19 - 21.500]
64017.0,Coonabarabran Airport Aws,149.3,-31.3,[24 - 26.500]
65068.0,Parkes Airport Aws,148.2,-33.1,[26.500 - 29]
65070.0,Dubbo Airport Aws,148.6,-32.2,[26.500 - 29]
65103.0,Forbes Airport Aws,147.9,-33.4,[26.500 - 29]
65111.0,Cowra Airport Aws,148.7,-33.8,[24 - 26.500]
66037.0,Sydney Airport Amo,151.2,-33.9,[24 - 26.500]
66059.0,Terrey Hills Aws,151.2,-33.7,[21.500 - 24]
66062.0,Sydney (Observatory Hill),151.2,-33.9,[24 - 26.500]
66137.0,Bankstown Airport Aws,151.0,-33.9,[24 - 26.500]
66161.0,Holsworthy Aerodrome Aws,150.9,-34.0,[24 - 26.500]
66194.0,Canterbury Racecourse Aws,151.1,-33.9,[24 - 26.500]
66195.0,Sydney Olympic Park (Sydney Olympic Pk (,151.1,-33.9,[24 - 26.500]
66196.0,Sydney Harbour (Wedding Cake West),151.3,-33.8,[21.500 - 24]
66212.0,Sydney Olympic Park Aws (Archery Centre),151.1,-33.8,[24 - 26.500]
67105.0,Richmond Raaf,150.8,-33.6,[24 - 26.500]
67108.0,Badgerys Creek Aws,150.7,-33.9,[24 - 26.500]
67113.0,Penrith Lakes Aws,150.7,-33.7,[24 - 26.500]
67117.0,Holsworthy Control Range,150.9,-34.0,[24 - 26.500]
67119.0,Horsley Park Equestrian Centre Aws,150.9,-33.9,[24 - 26.500]
68072.0,Nowra Ran Air Station Aws,150.5,-34.9,[21.500 - 24]
68151.0,Jervis Bay (Point Perpendicular Aws),150.8,-35.1,[21.500 - 24]
68192.0,Camden Airport Aws,150.7,-34.0,[24 - 26.500]
68228.0,Bellambi Aws,150.9,-34.4,[21.500 - 24]
68239.0,Moss Vale Aws,150.4,-34.5,[19 - 21.500]
68241.0,Albion Park (Shellharbour Airport),150.8,-34.6,[21.500 - 24]
68242.0,Kiama (Bombo Headland),150.9,-34.7,[21.500 - 24]
68253.0,Port Kembla Ntc Aws,150.9,-34.5,[19 - 21.500]
68257.0,Campbelltown (Mount Annan),150.8,-34.1,[24 - 26.500]
68262.0,High Range Aws (Wanganderry),150.3,-34.3,[19 - 21.500]
69017.0,Montague Island Lighthouse,150.2,-36.3,[19 - 21.500]
69128.0,Nerriga Aws,150.1,-35.1,[21.500 - 24]
69132.0,Braidwood Racecourse Aws,149.8,-35.4,[21.500 - 24]
69137.0,Green Cape Aws,150.1,-37.3,[19 - 21.500]
69138.0,Ulladulla Aws,150.5,-35.4,[19 - 21.500]
69139.0,Bega Aws,149.8,-36.7,[21.500 - 24]
69147.0,Merimbula Airport Aws,149.9,-36.9,[21.500 - 24]
69148.0,Moruya Airport Aws,150.1,-35.9,[21.500 - 24]
70014.0,Canberra Airport Comparison,149.2,-35.3,[21.500 - 24]
70217.0,Cooma Airport Aws,149.0,-36.3,[19 - 21.500]
70328.0,Bombala Aws,149.2,-37.0,[19 - 21.500]
70330.0,Goulburn Airport Aws,149.7,-34.8,[21.500 - 24]
70339.0,Tuggeranong (Isabella Plains) Aws,149.1,-35.4,[21.500 - 24]
70349.0,Mount Ginini Aws,148.8,-35.5,[14 - 16.500]
70351.0,Canberra Airport,149.2,-35.3,[21.500 - 24]
71032.0,Thredbo Aws,148.3,-36.5,[11.500 - 14]
71075.0,Perisher Valley Aws,148.4,-36.4,[14 - 16.500]
72150.0,Wagga Wagga Amo,147.5,-35.2,[24 - 26.500]
72160.0,Albury Airport Aws,147.0,-36.1,[24 - 26.500]
72161.0,Cabramurra Smhea Aws,148.4,-35.9,[14 - 16.500]
72162.0,Khancoban Aws,148.1,-36.2,[21.500 - 24]
73138.0,Young Airport,148.2,-34.2,[24 - 26.500]
73151.0,Temora Airport,147.5,-34.4,[24 - 26.500]
74037.0,Yanco Agricultural Institute,146.4,-34.6,[26.500 - 29]
74148.0,Narrandera Airport Aws,146.5,-34.7,[26.500 - 29]
74253.0,Finley (Csiro),145.6,-35.7,[24 - 26.500]
74258.0,Deniliquin Airport Aws,144.9,-35.6,[24 - 26.500]
75019.0,Hay Airport Aws,144.8,-34.5,[26.500 - 29]
75041.0,Griffith Airport Aws,146.1,-34.2,[26.500 - 29]
75174.0,Griffith Csiro,146.1,-34.3,[24 - 26.500]
75175.0,Hay Csiro Aws,144.9,-34.5,[26.500 - 29]
76031.0,Mildura Airport,142.1,-34.2,[24 - 26.500]
76064.0,Walpeup Research,142.0,-35.1,[24 - 26.500]
77010.0,Hopetoun Airport,142.4,-35.7,[24 - 26.500]
77094.0,Swan Hill Aerodrome,143.5,-35.4,[24 - 26.500]
78015.0,Nhill Aerodrome,141.6,-36.3,[21.500 - 24]
79028.0,Longerenong,142.3,-36.7,[21.500 - 24]
79097.0,Kanagulk,141.8,-37.1,[21.500 - 24]
79099.0,Edenhope Airport,141.3,-37.0,[21.500 - 24]
79100.0,Horsham Aerodrome,142.2,-36.7,[21.500 - 24]
79101.0,Pyrenees (Ben Nevis),143.2,-37.2,[16.500 - 19]
79103.0,Grampians (Mount William),142.6,-37.3,[14 - 16.500]
79105.0,Stawell Aerodrome,142.7,-37.1,[21.500 - 24]
80091.0,Kyabram,145.1,-36.3,[24 - 26.500]
80128.0,Charlton,143.3,-36.3,[24 - 26.500]
81049.0,Tatura Inst Sustainable Ag,145.3,-36.4,[24 - 26.500]
81123.0,Bendigo Airport,144.3,-36.7,[21.500 - 24]
81124.0,Yarrawonga,146.0,-36.0,[24 - 26.500]
81125.0,Shepparton Airport,145.4,-36.4,[24 - 26.500]
82039.0,Rutherglen Research,146.5,-36.1,[24 - 26.500]
82138.0,Wangaratta Aero,146.3,-36.4,[24 - 26.500]
82139.0,Hunters Hill,147.5,-36.2,[19 - 21.500]
83024.0,Mount Buller,146.4,-37.1,[11.500 - 14]
83084.0,Falls Creek,147.3,-36.9,[11.500 - 14]
83085.0,Mount Hotham,147.1,-37.0,[11.500 - 14]
83090.0,Omeo,147.6,-37.1,[19 - 21.500]
84016.0,Gabo Island Lighthouse,149.9,-37.6,[19 - 21.500]
84084.0,Mallacoota,149.7,-37.6,[19 - 21.500]
84142.0,Gelantipy,148.3,-37.2,[16.500 - 19]
84143.0,Combienbar Aws,149.0,-37.3,[19 - 21.500]
84144.0,Mount Nowa Nowa,148.1,-37.7,[19 - 21.500]
84145.0,Orbost,148.5,-37.7,[21.500 - 24]
85072.0,East Sale,147.1,-38.1,[19 - 21.500]
85096.0,Wilsons Promontory Lighthouse,146.4,-39.1,[16.500 - 19]
