ENO,Name,Synonyms,State,Operating Status,Longitude,Latitude,Commodities,Significance,Description1,URL1,Description2,URL2,Description3,URL3,Description4,URL4,Description5,URL5
336232,Hail Creek,,QLD,operating mine,148.406805,-21.505383,Coal - black,2,Rio Tinto Limited,http://www.riotinto.com,Rio Tinto Coal Australia,http://www.riotintocoalaustralia.com.au,,,,,,
333308,Jellinbah East,,QLD,operating mine,148.950644,-23.406874,Coal - black,2,Jellinbah Resources,http://www.jellinbah.com.au,,,,,,,,
334259,Kogan Creek,"Kogan, Brigalow",QLD,operating mine,150.7726313,-26.89571627,Coal - black,2,CS Energy,http://www.csenergy.com.au,,,,,,,,
335089,Lake Vermont,Vermont,QLD,operating mine,148.4385133,-22.39900204,Coal - black,2,Lake Vermont Coal,http://www.lakevermontcoal.com.au,,,,,,,,
335659,Moranbah North,,QLD,operating mine,147.9567417,-21.87133056,Coal - black,2,Anglo Coal Australia Pty Ltd,http://www.anglocoal.com.au/,,,,,,,,
334708,Dawson,"Dawson Complex, Moura",QLD,operating mine,150.0592383,-24.61682594,Coal - black,2,Moura Mine,http://www.mining-technology.com/projects/moura/,Anglo Coal Australia Pty Ltd,http://www.anglocoal.com.au/,,,,,,
334409,Enterprise - Ora Banda,Ora Banda Project,WA,operating mine,121.089,-30.3719,Gold,4,Norton Gold Fields Limited,http://www.nortongoldfields.com.au,,,,,,,,
335962,Mount Lyell Project,"Mt Lyell, Western Tharsis, Prince Lyell",TAS,operating mine,145.5855,-42.061,"Silver, Copper, Gold",3,Sterlite Industries (India) Limited,http://www.sterlite-industries.com/Our%20Business/Operations.aspx,Vedanta Resources - Mining,http://www.vedantaresources.com/,,,,,,
334961,Golden Eagle - Nullagine,Nullagine Gold Project,WA,operating mine,120.1205,-21.9671,Gold,4,Millennium Minerals Limited,http://www.millenniumminerals.com.au,,,,,,,,
336005,Balmoral Central (Sino_Cape Preston Iron),"Fortescue, George Palmer",WA,operating mine,116.1473525,-21.07958871,"Iron, Iron ore",2,CITIC Pacific Ltd,http://www.citicpacific.com,CITIC Pacific Mining,http://www.citicpacificmining.com,,,,,,
334825,Mount Wright,,QLD,operating mine,146.832,-20.0404,Gold,3,Resolute Mining Limited,http://www.rml.com.au/,,,,,,,,
333599,Kanmantoo,,SA,operating mine,139.0054,-35.0919,"Copper, (Gold, Silver)",3,Hillgrove Resources,http://www.hillgroveresources.com.au,,,,,,,,
334290,Howley,Burnside Project,NT,operating mine,131.3455,-13.498,Gold,6,Crocodile Gold Corporation,http://www.crocgold.com/,,,,,,,,
333966,Mountain of Light,,SA,operating mine,138.4512842,-30.57893333,Copper,5,Phoenix Copper Limited,http://www.phoenixcopper.com.au,,,,,,,,
334505,Curragh,includes Curragh West,QLD,operating mine,148.854144,-23.466218,Coal - black,2,Wesfarmers Coal Ltd,http://www.wesfarmerscoal.com.au,,,,,,,,
334974,Jeebropilly,"West Moreton, Jeebropilly North, Jeebropilly West, 7 Mile, Smithfield, Thagoona",QLD,operating mine,152.6593549,-27.62301718,Coal - black,5,New Hope Coal,http://www.newhopecoal.com.au,,,,,,,,
